arm,track,seed,runaway,parade,swap,leadChanges,gap090
V0,searound,1,1,0,0,1,7.3055
V0,searound,2,0,0,0,1,0.7204
V0,searound,3,0,0,0,2,0.9551
V0,searound,4,1,0,0,0,4.5829
V0,searound,5,0,0,1,1,0.2687
V0,searound,6,1,0,0,2,10.0541
V0,searound,7,0,0,1,2,0.7691
V0,searound,8,1,0,0,2,4.4105
V0,searound,9,0,0,1,1,0.9043
V0,searound,10,0,0,1,2,1.1955
V0,searound,11,0,0,0,2,1.0108
V0,searound,12,1,0,0,0,6.0926
V0,searound,13,0,0,0,1,0.4135
V0,searound,14,0,0,1,4,0.102
V0,searound,15,1,0,0,1,8.4407
V0,searound,16,0,0,0,1,1.0027
V0,searound,17,1,0,0,2,8.3521
V0,searound,18,1,0,0,1,4.6747
V0,searound,19,0,0,0,0,1.616
V0,searound,20,1,0,0,0,5.5495
V0,searound,21,0,0,0,1,2.3979
V0,searound,22,0,0,1,2,1.197
V0,searound,23,0,0,0,2,3.0328
V0,searound,24,0,0,0,1,0.7169
V0,searound,25,0,0,0,2,2.1085
V0,searound,26,0,0,1,3,2.1598
V0,searound,27,0,0,0,2,0.8764
V0,searound,28,0,0,0,1,0.9636
V0,searound,29,0,0,0,1,0.3151
V0,searound,30,1,0,0,1,4.2412
V0,searound,31,1,0,0,1,9.2766
V0,searound,32,0,0,1,1,1.2299
V0,searound,33,0,0,0,5,1.0333
V0,searound,34,1,0,0,2,3.4664
V0,searound,35,0,0,0,0,0.1275
V0,searound,36,0,1,0,0,2.8191
V0,searound,37,0,0,0,1,1.8197
V0,searound,38,0,0,0,0,1.9136
V0,searound,39,0,0,1,4,0.5296
V0,searound,40,1,0,0,0,3.2758
V0,searound,41,0,0,0,0,0.2337
V0,searound,42,0,0,0,2,0.1332
V0,searound,43,0,0,1,4,0.259
V0,searound,44,0,0,1,2,2.2605
V0,searound,45,0,0,1,2,0.1218
V0,searound,46,0,0,1,3,0.2279
V0,searound,47,1,0,0,0,9.4864
V0,searound,48,0,0,0,0,1.4227
V0,searound,49,0,0,0,2,0.4148
V0,searound,50,0,0,1,4,0.9891
V0,searound,51,0,0,1,2,1.3117
V0,searound,52,1,0,0,2,3.5814
V0,searound,53,1,0,0,0,3.2976
V0,searound,54,0,0,0,0,1.201
V0,searound,55,1,0,0,1,5.0793
V0,searound,56,0,0,0,1,0.6952
V0,searound,57,1,0,0,3,5.9975
V0,searound,58,0,0,1,4,1.1992
V0,searound,59,0,0,0,1,2.1964
V0,searound,60,0,0,0,1,2.5355
V0,searound,61,0,0,0,3,1.4325
V0,searound,62,0,0,1,1,0.8555
V0,searound,63,1,0,0,0,3.5942
V0,searound,64,0,0,1,3,0.2761
V0,searound,65,0,0,1,2,0.1261
V0,searound,66,0,0,0,1,1.0392
V0,searound,67,0,0,1,4,0.5385
V0,searound,68,1,0,0,3,6.319
V0,searound,69,0,0,1,3,0.0387
V0,searound,70,1,0,0,1,8.6596
V0,searound,71,0,0,0,3,0.3588
V0,searound,72,0,0,0,1,2.6446
V0,searound,73,0,0,1,1,0.7909
V0,searound,74,0,0,0,2,2.2735
V0,searound,75,1,0,0,1,10.5846
V0,searound,76,0,0,0,3,2.2193
V0,searound,77,1,0,0,2,5.0462
V0,searound,78,0,0,1,2,1.1307
V0,searound,79,0,0,1,1,1.3467
V0,searound,80,0,0,0,1,2.182
V0,searound,81,1,0,0,1,5.1151
V0,searound,82,0,0,0,3,1.5528
V0,searound,83,0,0,0,0,1.216
V0,searound,84,0,0,0,1,1.1985
V0,searound,85,1,0,0,1,7.1366
V0,searound,86,0,0,1,2,0.5565
V0,searound,87,0,0,0,1,2.5603
V0,searound,88,1,0,0,0,5.7423
V0,searound,89,1,0,0,1,5.4955
V0,searound,90,0,0,0,2,1.1203
V0,searound,91,0,0,1,5,0.391
V0,searound,92,0,0,0,1,0.5836
V0,searound,93,0,0,0,0,1.3133
V0,searound,94,1,0,0,1,6.9279
V0,searound,95,1,0,0,2,3.9713
V0,searound,96,0,0,1,3,0.7384
V0,searound,97,0,0,0,0,1.102
V0,searound,98,0,0,0,2,0.8262
V0,searound,99,0,0,0,3,1.2856
V0,searound,100,1,0,0,1,8.214
