arm,track,seed,runaway,parade,swap,leadChanges,gap090
V0,mountainstreet,1,1,0,0,0,6.6043
V0,mountainstreet,2,0,0,0,0,2.031
V0,mountainstreet,3,0,1,0,2,0.0861
V0,mountainstreet,4,0,0,1,2,0.496
V0,mountainstreet,5,0,0,0,2,0.2282
V0,mountainstreet,6,1,0,0,2,3.5175
V0,mountainstreet,7,1,0,0,2,3.2367
V0,mountainstreet,8,0,0,0,1,1.4794
V0,mountainstreet,9,0,0,0,1,1.5149
V0,mountainstreet,10,0,0,0,1,1.8291
V0,mountainstreet,11,1,0,0,1,5.1211
V0,mountainstreet,12,0,0,0,1,1.1019
V0,mountainstreet,13,0,0,0,2,0.0987
V0,mountainstreet,14,1,0,0,2,9.5795
V0,mountainstreet,15,0,0,1,1,0.8482
V0,mountainstreet,16,0,0,0,1,1.616
V0,mountainstreet,17,0,0,1,4,0.3111
V0,mountainstreet,18,0,0,0,1,1.8579
V0,mountainstreet,19,0,0,1,5,0.1487
V0,mountainstreet,20,0,0,0,0,1.1983
V0,mountainstreet,21,0,0,0,2,2.0787
V0,mountainstreet,22,0,0,0,0,1.3361
V0,mountainstreet,23,0,0,0,2,2.8594
V0,mountainstreet,24,0,0,0,1,1.5001
V0,mountainstreet,25,0,0,0,1,0.9409
V0,mountainstreet,26,0,0,0,0,0.042
V0,mountainstreet,27,1,0,0,0,4.8863
V0,mountainstreet,28,0,0,0,2,1.0527
V0,mountainstreet,29,0,0,0,2,1.6565
V0,mountainstreet,30,0,0,1,2,0.1735
V0,mountainstreet,31,0,0,1,2,2.7608
V0,mountainstreet,32,1,0,0,0,5.403
V0,mountainstreet,33,0,0,0,2,2.8915
V0,mountainstreet,34,0,0,0,1,1.4979
V0,mountainstreet,35,0,0,1,3,0.3177
V0,mountainstreet,36,0,0,1,2,1.2796
V0,mountainstreet,37,0,0,0,2,1.0302
V0,mountainstreet,38,1,0,0,1,9.8387
V0,mountainstreet,39,0,0,1,4,0.8057
V0,mountainstreet,40,1,0,0,2,6.7754
V0,mountainstreet,41,0,0,1,2,0.4427
V0,mountainstreet,42,0,0,1,3,0.6182
V0,mountainstreet,43,0,0,0,2,1.3937
V0,mountainstreet,44,0,0,0,1,2.9764
V0,mountainstreet,45,1,0,0,1,5.1823
V0,mountainstreet,46,0,0,0,1,2.726
V0,mountainstreet,47,0,0,0,1,1.2624
V0,mountainstreet,48,0,0,0,0,1.1955
V0,mountainstreet,49,0,0,1,4,0.1942
V0,mountainstreet,50,0,0,0,0,1.199
V0,mountainstreet,51,0,0,0,1,0.9849
V0,mountainstreet,52,0,0,1,2,1.1998
V0,mountainstreet,53,1,0,0,1,4.7522
V0,mountainstreet,54,1,0,0,2,3.0868
V0,mountainstreet,55,0,0,0,0,2.4062
V0,mountainstreet,56,0,0,1,2,0.2548
V0,mountainstreet,57,0,0,1,3,1.9443
V0,mountainstreet,58,0,0,0,3,1.4437
V0,mountainstreet,59,0,0,1,3,0.656
V0,mountainstreet,60,0,0,0,2,1.3635
V0,mountainstreet,61,0,1,0,5,0.0688
V0,mountainstreet,62,0,0,0,1,1.3691
V0,mountainstreet,63,0,0,1,5,0.0001
V0,mountainstreet,64,0,0,1,3,1.5632
V0,mountainstreet,65,1,0,0,0,3.1291
V0,mountainstreet,66,0,0,1,3,1.0691
V0,mountainstreet,67,1,0,0,0,3.3988
V0,mountainstreet,68,0,0,0,3,1.5967
V0,mountainstreet,69,0,0,0,0,0.4848
V0,mountainstreet,70,0,0,0,2,3.0781
V0,mountainstreet,71,0,0,0,2,0.4413
V0,mountainstreet,72,0,0,1,4,1.8103
V0,mountainstreet,73,0,0,0,2,1.421
V0,mountainstreet,74,0,0,0,2,2.3111
V0,mountainstreet,75,0,0,0,0,1.6073
V0,mountainstreet,76,1,0,0,2,4.0255
V0,mountainstreet,77,0,0,1,4,0.2758
V0,mountainstreet,78,0,0,0,0,1.2108
V0,mountainstreet,79,0,0,1,5,0.1377
V0,mountainstreet,80,1,0,0,0,4.2523
V0,mountainstreet,81,1,0,0,4,3.5964
V0,mountainstreet,82,0,0,1,2,1.2005
V0,mountainstreet,83,0,0,1,3,0.5953
V0,mountainstreet,84,0,0,0,0,0.1517
V0,mountainstreet,85,0,0,1,5,0.7938
V0,mountainstreet,86,0,0,0,0,0.694
V0,mountainstreet,87,0,0,0,1,2.5132
V0,mountainstreet,88,0,0,0,1,2.5852
V0,mountainstreet,89,0,0,1,1,0.4846
V0,mountainstreet,90,0,0,0,4,0.0756
V0,mountainstreet,91,0,0,0,1,1.313
V0,mountainstreet,92,0,0,0,2,1.842
V0,mountainstreet,93,0,0,0,0,3.6523
V0,mountainstreet,94,0,0,0,1,0.5012
V0,mountainstreet,95,0,0,1,3,1.9567
V0,mountainstreet,96,1,0,0,2,4.7994
V0,mountainstreet,97,0,0,0,1,1.7058
V0,mountainstreet,98,0,0,0,1,1.9453
V0,mountainstreet,99,0,0,0,0,1.6202
V0,mountainstreet,100,0,1,1,3,1.319
