arm,track,seed,runaway,parade,swap,leadChanges,gap090
V0,dirt-oval,1,1,0,0,1,7.6255
V0,dirt-oval,2,0,0,1,2,1.2936
V0,dirt-oval,3,0,0,0,0,1.8997
V0,dirt-oval,4,0,0,0,2,0.0641
V0,dirt-oval,5,0,0,0,0,1.529
V0,dirt-oval,6,0,0,1,2,1.2005
V0,dirt-oval,7,1,0,0,2,6.68
V0,dirt-oval,8,0,0,1,1,1.1981
V0,dirt-oval,9,0,0,0,1,0.8738
V0,dirt-oval,10,0,0,1,2,1.1935
V0,dirt-oval,11,0,0,1,5,0.6057
V0,dirt-oval,12,0,0,0,2,1.1311
V0,dirt-oval,13,1,0,0,1,9.4713
V0,dirt-oval,14,0,0,1,1,2.7053
V0,dirt-oval,15,0,0,1,1,1.2019
V0,dirt-oval,16,0,0,0,0,1.0741
V0,dirt-oval,17,1,0,0,4,6.2047
V0,dirt-oval,18,0,0,1,1,4.4885
V0,dirt-oval,19,0,0,1,3,0.2302
V0,dirt-oval,20,0,0,0,0,2.7105
V0,dirt-oval,21,0,0,0,1,1.2051
V0,dirt-oval,22,0,0,0,1,0.0935
V0,dirt-oval,23,0,0,0,0,0.8516
V0,dirt-oval,24,0,0,1,1,0.8161
V0,dirt-oval,25,1,0,0,0,3.7156
V0,dirt-oval,26,1,0,0,0,4.5791
V0,dirt-oval,27,0,0,0,0,1.4978
V0,dirt-oval,28,0,0,0,0,0.9818
V0,dirt-oval,29,0,1,0,2,4.6432
V0,dirt-oval,30,1,0,0,3,7.2128
V0,dirt-oval,31,1,0,0,1,6.2603
V0,dirt-oval,32,0,0,0,2,0.568
V0,dirt-oval,33,1,0,0,1,6.5906
V0,dirt-oval,34,0,0,0,3,0.6433
V0,dirt-oval,35,1,0,0,1,3.0285
V0,dirt-oval,36,0,0,0,1,2.598
V0,dirt-oval,37,0,0,0,2,2.3149
V0,dirt-oval,38,0,0,1,3,0.7948
V0,dirt-oval,39,0,0,0,0,1.511
V0,dirt-oval,40,0,0,1,1,0.9526
V0,dirt-oval,41,1,0,0,1,3.5254
V0,dirt-oval,42,0,0,0,2,2.2801
V0,dirt-oval,43,0,0,0,1,1.2016
V0,dirt-oval,44,0,0,0,0,1.4994
V0,dirt-oval,45,0,0,0,1,2.5328
V0,dirt-oval,46,0,0,0,1,1.1959
V0,dirt-oval,47,0,0,0,0,1.2011
V0,dirt-oval,48,0,1,0,1,1.1977
V0,dirt-oval,49,0,0,0,3,0.5126
V0,dirt-oval,50,1,0,0,0,14.3109
V0,dirt-oval,51,0,0,1,3,1.2378
V0,dirt-oval,52,0,0,0,0,1.6244
V0,dirt-oval,53,0,0,1,2,0.8254
V0,dirt-oval,54,0,0,0,0,1.5545
V0,dirt-oval,55,0,0,0,0,1.4683
V0,dirt-oval,56,0,0,0,0,1.6002
V0,dirt-oval,57,0,0,0,2,1.982
V0,dirt-oval,58,0,0,0,0,1.4995
V0,dirt-oval,59,0,0,0,0,1.2002
V0,dirt-oval,60,1,0,0,2,10.6914
V0,dirt-oval,61,1,0,0,3,6.8991
V0,dirt-oval,62,1,0,0,1,3.8346
V0,dirt-oval,63,1,0,0,1,5.1099
V0,dirt-oval,64,0,0,0,2,0.002
V0,dirt-oval,65,0,0,0,0,1.1801
V0,dirt-oval,66,0,0,0,1,0.6801
V0,dirt-oval,67,1,0,0,1,4.4766
V0,dirt-oval,68,1,0,0,0,3.1317
V0,dirt-oval,69,0,0,0,2,0.2221
V0,dirt-oval,70,0,0,1,3,1.1134
V0,dirt-oval,71,1,0,0,0,4.6951
V0,dirt-oval,72,1,0,0,0,6.1797
V0,dirt-oval,73,0,0,0,1,1.4997
V0,dirt-oval,74,0,0,0,0,1.1776
V0,dirt-oval,75,0,1,1,3,0.6593
V0,dirt-oval,76,0,0,1,1,0.9416
V0,dirt-oval,77,1,0,0,1,4.2702
V0,dirt-oval,78,0,0,1,2,0.008
V0,dirt-oval,79,1,0,0,3,5.5566
V0,dirt-oval,80,0,0,0,1,0.0426
V0,dirt-oval,81,0,0,0,1,1.4801
V0,dirt-oval,82,0,0,0,0,2.6594
V0,dirt-oval,83,0,0,1,4,0.9119
V0,dirt-oval,84,0,0,0,0,1.1996
V0,dirt-oval,85,1,0,0,2,3.8281
V0,dirt-oval,86,1,0,0,2,4.5874
V0,dirt-oval,87,1,0,0,2,9.4163
V0,dirt-oval,88,1,0,0,2,7.647
V0,dirt-oval,89,0,0,0,0,0.1378
V0,dirt-oval,90,0,0,1,1,1.1418
V0,dirt-oval,91,0,0,1,3,0.0832
V0,dirt-oval,92,1,0,0,4,5.3824
V0,dirt-oval,93,1,0,0,2,4.0069
V0,dirt-oval,94,0,0,1,1,0.4854
V0,dirt-oval,95,0,0,0,1,2.7721
V0,dirt-oval,96,0,0,0,1,1.1052
V0,dirt-oval,97,0,0,1,1,0.5549
V0,dirt-oval,98,0,0,0,1,2.095
V0,dirt-oval,99,0,0,0,3,1.7114
V0,dirt-oval,100,0,0,0,0,0.9012
