arm,track,seed,runaway,parade,swap,leadChanges,gap090
R94-OFF,luger-hill,1,0,0,0,2,0.7074
R94-OFF,luger-hill,2,0,0,0,1,2.3349
R94-OFF,luger-hill,3,1,0,0,1,4.4141
R94-OFF,luger-hill,4,0,0,0,0,0.2735
R94-OFF,luger-hill,5,0,0,0,1,1.8258
R94-OFF,luger-hill,6,0,0,0,1,1.1971
R94-OFF,luger-hill,7,0,0,1,2,0.1619
R94-OFF,luger-hill,8,1,0,0,0,4.5608
R94-OFF,luger-hill,9,0,0,0,0,0.6631
R94-OFF,luger-hill,10,1,0,0,2,4.9212
R94-OFF,luger-hill,11,0,0,0,1,1.1998
R94-OFF,luger-hill,12,0,0,0,3,2.6988
R94-OFF,luger-hill,13,0,0,0,0,1.207
R94-OFF,luger-hill,14,0,0,1,5,0.0321
R94-OFF,luger-hill,15,0,0,0,1,1.1386
R94-OFF,luger-hill,16,1,0,0,2,3.7773
R94-OFF,luger-hill,17,0,0,1,2,2.1386
R94-OFF,luger-hill,18,0,0,0,0,2.1611
R94-OFF,luger-hill,19,0,0,0,2,1.6823
R94-OFF,luger-hill,20,0,0,0,1,0.9206
R94-OFF,luger-hill,21,0,0,0,1,1.6455
R94-OFF,luger-hill,22,0,0,1,4,0.6328
R94-OFF,luger-hill,23,0,0,0,2,0.5227
R94-OFF,luger-hill,24,1,0,0,1,4.9629
R94-OFF,luger-hill,25,1,0,0,1,3.1534
R94-OFF,luger-hill,26,1,0,0,1,5.1275
R94-OFF,luger-hill,27,0,0,0,0,0.1985
R94-OFF,luger-hill,28,0,0,1,3,0.5177
R94-OFF,luger-hill,29,0,0,0,1,0.2689
R94-OFF,luger-hill,30,0,0,0,1,1.1944
R94-OFF,luger-hill,31,0,0,0,1,1.2258
R94-OFF,luger-hill,32,0,0,0,2,0.2911
R94-OFF,luger-hill,33,1,0,0,1,4.7775
R94-OFF,luger-hill,34,0,0,0,1,0.5745
R94-OFF,luger-hill,35,0,0,1,2,0.5821
R94-OFF,luger-hill,36,0,0,1,2,1.2242
R94-OFF,luger-hill,37,0,0,0,2,2.6673
R94-OFF,luger-hill,38,0,0,0,1,1.1979
R94-OFF,luger-hill,39,0,0,0,1,1.6658
R94-OFF,luger-hill,40,0,0,1,3,0.1279
R94-OFF,luger-hill,41,0,0,1,1,0.0571
R94-OFF,luger-hill,42,0,0,0,4,2.4956
R94-OFF,luger-hill,43,0,0,0,3,1.8473
R94-OFF,luger-hill,44,0,0,0,3,1.3373
R94-OFF,luger-hill,45,1,0,0,0,3.2894
R94-OFF,luger-hill,46,0,0,0,0,0.8792
R94-OFF,luger-hill,47,1,0,0,0,3.3158
R94-OFF,luger-hill,48,0,0,0,0,1.7331
R94-OFF,luger-hill,49,0,0,0,1,1.6837
R94-OFF,luger-hill,50,0,0,1,2,0.4482
R94-OFF,luger-hill,51,0,0,0,1,1.0395
R94-OFF,luger-hill,52,0,0,1,3,0.4121
R94-OFF,luger-hill,53,0,0,1,2,1.0722
R94-OFF,luger-hill,54,1,0,0,1,4.8671
R94-OFF,luger-hill,55,0,0,1,3,0.5005
R94-OFF,luger-hill,56,0,0,1,3,0.8387
R94-OFF,luger-hill,57,0,0,0,0,1.2683
R94-OFF,luger-hill,58,0,0,1,3,0.2189
R94-OFF,luger-hill,59,0,0,0,3,0.0091
R94-OFF,luger-hill,60,0,0,1,2,0.0966
R94-OFF,luger-hill,61,0,0,0,0,2.1635
R94-OFF,luger-hill,62,0,0,0,2,0.5192
R94-OFF,luger-hill,63,0,0,0,0,0.4107
R94-OFF,luger-hill,64,0,0,0,0,2.3342
R94-OFF,luger-hill,65,0,0,0,2,2.3533
R94-OFF,luger-hill,66,0,0,0,1,2.1499
R94-OFF,luger-hill,67,0,0,0,1,1.4101
R94-OFF,luger-hill,68,0,0,0,1,0.4854
R94-OFF,luger-hill,69,1,0,0,0,3.8897
R94-OFF,luger-hill,70,0,0,1,1,0.0544
R94-OFF,luger-hill,71,0,0,0,0,0.6382
R94-OFF,luger-hill,72,0,0,0,2,1.4867
R94-OFF,luger-hill,73,0,0,0,1,0.2446
R94-OFF,luger-hill,74,0,0,1,3,1.1279
R94-OFF,luger-hill,75,1,0,0,1,5.9952
R94-OFF,luger-hill,76,0,0,0,2,1.1981
R94-OFF,luger-hill,77,0,0,0,2,0.9285
R94-OFF,luger-hill,78,0,0,0,2,1.6263
R94-OFF,luger-hill,79,0,0,0,2,0.3711
R94-OFF,luger-hill,80,0,0,0,2,1.968
R94-OFF,luger-hill,81,1,0,0,1,3.8095
R94-OFF,luger-hill,82,0,1,0,0,1.1941
R94-OFF,luger-hill,83,0,0,0,3,1.385
R94-OFF,luger-hill,84,0,0,1,2,0.62
R94-OFF,luger-hill,85,0,0,1,2,0.5149
R94-OFF,luger-hill,86,0,0,0,1,2.642
R94-OFF,luger-hill,87,0,0,0,2,0.4616
R94-OFF,luger-hill,88,0,0,1,4,0.0679
R94-OFF,luger-hill,89,1,0,0,3,3.9112
R94-OFF,luger-hill,90,0,0,1,2,0.7892
R94-OFF,luger-hill,91,1,0,0,1,4.8498
R94-OFF,luger-hill,92,0,0,0,1,1.9098
R94-OFF,luger-hill,93,1,0,0,0,3.4236
R94-OFF,luger-hill,94,0,0,0,1,1.6057
R94-OFF,luger-hill,95,0,0,0,0,1.3881
R94-OFF,luger-hill,96,0,0,1,2,0.3704
R94-OFF,luger-hill,97,0,0,0,0,0.6586
R94-OFF,luger-hill,98,0,0,0,0,0.5496
