track,racer,type,raceIdx,seed,runawayWinner,paradeFinish,leaderGapAt090Len,minLeadFrom090Len,winnerIdx,winnerIsLeaderAt090,paradeGroupSize,paradeNextGapLen,paradeSpeedSpread
mountainstreet,boarder,open,0,1,1,0,6.6043,3.5001,38,1,0,3.5001,
mountainstreet,boarder,open,1,2,0,0,2.031,2.031,29,1,0,5.0517,
mountainstreet,boarder,open,2,3,0,1,0.0861,0.0861,31,1,2,5.4695,0.0143
mountainstreet,boarder,open,3,4,0,0,0.496,0,34,0,2,1.4421,
mountainstreet,boarder,open,4,5,0,0,0.2282,0.2282,15,1,0,0.993,
mountainstreet,boarder,open,5,6,1,0,3.5175,1.4345,28,1,0,1.5033,
mountainstreet,boarder,open,6,7,1,0,3.2367,1.611,14,1,0,1.611,
mountainstreet,boarder,open,7,8,0,0,1.4794,1.0452,5,1,0,1.1583,
mountainstreet,boarder,open,8,9,0,0,1.5149,1.3333,4,1,0,2.3052,
mountainstreet,boarder,open,9,10,0,0,1.8291,0.4992,5,1,3,0.9672,
mountainstreet,boarder,open,10,11,1,0,5.1211,5.1211,5,1,0,8.2542,
mountainstreet,boarder,open,11,12,0,0,1.1019,1.1019,6,1,0,1.1999,
mountainstreet,boarder,open,12,13,0,0,0.0987,0.0987,17,1,0,2.2916,
mountainstreet,boarder,open,13,14,1,0,9.5795,9.5795,38,1,0,10.3673,
mountainstreet,boarder,open,14,15,0,0,0.8482,0,34,0,0,1.2176,
mountainstreet,boarder,open,15,16,0,0,1.616,1.616,21,1,0,3.5015,
mountainstreet,boarder,open,16,17,0,0,0.3111,0,38,0,0,0.9825,
mountainstreet,boarder,open,17,18,0,0,1.8579,1.1198,21,1,0,1.1198,
mountainstreet,boarder,open,18,19,0,0,0.1487,0,16,0,17,0.5311,
mountainstreet,boarder,open,19,20,0,0,1.1983,1.1966,8,1,0,1.6623,
mountainstreet,boarder,open,20,21,0,0,2.0787,1.8192,35,1,0,1.8192,
mountainstreet,boarder,open,21,22,0,0,1.3361,1.3361,20,1,0,1.5038,
mountainstreet,boarder,open,22,23,0,0,2.8594,1.1953,30,1,0,1.1956,
mountainstreet,boarder,open,23,24,0,0,1.5001,1.4981,36,1,0,1.5016,
mountainstreet,boarder,open,24,25,0,0,0.9409,0.8942,33,1,0,0.988,
mountainstreet,boarder,open,25,26,0,0,0.042,0.0006,8,1,0,0.6452,
mountainstreet,boarder,open,26,27,1,0,4.8863,4.8863,2,1,0,6.112,
mountainstreet,boarder,open,27,28,0,0,1.0527,0.0571,13,1,0,0.6899,
mountainstreet,boarder,open,28,29,0,0,1.6565,1.3778,37,1,0,1.3778,
mountainstreet,boarder,open,29,30,0,0,0.1735,0,27,0,0,0.7231,
mountainstreet,boarder,open,30,31,0,0,2.7608,0,38,0,2,0.7126,
mountainstreet,boarder,open,31,32,1,0,5.403,5.403,23,1,0,8.8943,
mountainstreet,boarder,open,32,33,0,0,2.8915,2.8915,19,1,0,5.9662,
mountainstreet,boarder,open,33,34,0,0,1.4979,1.2609,35,1,0,1.2609,
mountainstreet,boarder,open,34,35,0,0,0.3177,0,13,0,0,0.8154,
mountainstreet,boarder,open,35,36,0,0,1.2796,0,9,0,0,0.5784,
mountainstreet,boarder,open,36,37,0,0,1.0302,0.1417,35,1,2,0.8536,
mountainstreet,boarder,open,37,38,1,0,9.8387,7.3778,26,1,0,7.3778,
mountainstreet,boarder,open,38,39,0,0,0.8057,0,17,0,0,1.64,
mountainstreet,boarder,open,39,40,1,0,6.7754,6.4861,2,1,0,6.4861,
mountainstreet,boarder,open,40,41,0,0,0.4427,0,24,0,0,2.4535,
mountainstreet,boarder,open,41,42,0,0,0.6182,0,36,0,0,2.2803,
mountainstreet,boarder,open,42,43,0,0,1.3937,0.7279,21,1,0,0.7279,
mountainstreet,boarder,open,43,44,0,0,2.9764,1.8407,26,1,0,1.8407,
mountainstreet,boarder,open,44,45,1,0,5.1823,4.6901,17,1,0,4.6901,
mountainstreet,boarder,open,45,46,0,0,2.726,0.8785,8,1,0,0.8962,
mountainstreet,boarder,open,46,47,0,0,1.2624,1.2624,24,1,0,1.5143,
mountainstreet,boarder,open,47,48,0,0,1.1955,1.0913,27,1,0,1.1008,
mountainstreet,boarder,open,48,49,0,0,0.1942,0,23,0,2,0.5016,
mountainstreet,boarder,open,49,50,0,0,1.199,0.9181,30,1,0,0.9181,
mountainstreet,boarder,open,50,51,0,0,0.9849,0.9849,11,1,0,2.3617,
mountainstreet,boarder,open,51,52,0,0,1.1998,0,17,0,0,0.6868,
mountainstreet,boarder,open,52,53,1,0,4.7522,4.7522,5,1,0,7.4952,
mountainstreet,boarder,open,53,54,1,0,3.0868,2.4668,32,1,0,2.4668,
mountainstreet,boarder,open,54,55,0,0,2.4062,2.4062,34,1,0,2.8104,
mountainstreet,boarder,open,55,56,0,0,0.2548,0,5,0,3,0.6977,
mountainstreet,boarder,open,56,57,0,0,1.9443,0,19,0,3,1.3405,
mountainstreet,boarder,open,57,58,0,0,1.4437,1.4437,35,1,0,1.4858,
mountainstreet,boarder,open,58,59,0,0,0.656,0,35,0,0,0.9377,
mountainstreet,boarder,open,59,60,0,0,1.3635,1.1738,37,1,0,2.3002,
mountainstreet,boarder,open,60,61,0,1,0.0688,0,37,1,3,5.9588,0.0105
mountainstreet,boarder,open,61,62,0,0,1.3691,1.1497,38,1,0,1.1497,
mountainstreet,boarder,open,62,63,0,0,0.0001,0,39,0,0,2.4942,
