track,racer,type,raceIdx,seed,runawayWinner,paradeFinish,leaderGapAt090Len,minLeadFrom090Len,winnerIdx,winnerIsLeaderAt090,paradeGroupSize,paradeNextGapLen,paradeSpeedSpread
dirt-oval,horse,closed,0,1,1,0,7.6255,6.3245,10,1,0,6.3245,
dirt-oval,horse,closed,1,2,0,0,1.2936,0,13,0,0,0.8656,
dirt-oval,horse,closed,2,3,0,0,1.8997,1.8997,0,1,0,4.8999,
dirt-oval,horse,closed,3,4,0,0,0.0641,0.0326,16,1,0,1.6009,
dirt-oval,horse,closed,4,5,0,0,1.529,1.2489,38,1,0,1.2489,
dirt-oval,horse,closed,5,6,0,0,1.2005,0,7,0,3,0.5134,
dirt-oval,horse,closed,6,7,1,0,6.68,4.3167,20,1,0,4.3167,
dirt-oval,horse,closed,7,8,0,0,1.1981,0,24,0,0,0.9645,
dirt-oval,horse,closed,8,9,0,0,0.8738,0.832,26,1,0,1.1991,
dirt-oval,horse,closed,9,10,0,0,1.1935,0,5,0,0,0.7678,
dirt-oval,horse,closed,10,11,0,0,0.6057,0,4,0,0,1.8724,
dirt-oval,horse,closed,11,12,0,0,1.1311,0.6973,38,1,0,0.7871,
dirt-oval,horse,closed,12,13,1,0,9.4713,7.8555,11,1,0,7.8555,
dirt-oval,horse,closed,13,14,0,0,2.7053,0,19,0,0,0.5094,
dirt-oval,horse,closed,14,15,0,0,1.2019,0,29,0,0,0.7866,
dirt-oval,horse,closed,15,16,0,0,1.0741,0.1339,31,1,2,0.7938,
dirt-oval,horse,closed,16,17,1,0,6.2047,6.1073,38,1,0,6.8487,
dirt-oval,horse,closed,17,18,0,0,4.4885,0,25,0,2,0.9831,
dirt-oval,horse,closed,18,19,0,0,0.2302,0,18,0,0,0.647,
dirt-oval,horse,closed,19,20,0,0,2.7105,1.4258,36,1,0,1.4258,
dirt-oval,horse,closed,20,21,0,0,1.2051,1.0761,35,1,0,1.8399,
dirt-oval,horse,closed,21,22,0,0,0.0935,0.072,18,1,2,1.0246,
dirt-oval,horse,closed,22,23,0,0,0.8516,0.8516,0,1,0,1.2878,
dirt-oval,horse,closed,23,24,0,0,0.8161,0,6,0,0,0.8541,
dirt-oval,horse,closed,24,25,1,0,3.7156,1.5199,19,1,0,1.5199,
