arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,mountainstreet,1,1,0,0,6.6043,38
V0,mountainstreet,2,0,0,6,2.031,29
V0,mountainstreet,3,0,1,1,0.0861,31
V0,mountainstreet,4,0,0,2,0.496,16
V0,mountainstreet,5,0,0,2,0.2282,15
V0,mountainstreet,6,1,0,0,3.5175,28
V0,mountainstreet,7,1,0,0,3.2367,14
V0,mountainstreet,8,0,0,2,1.4794,5
V0,mountainstreet,9,0,0,1,1.5149,4
V0,mountainstreet,10,0,0,3,1.8291,5
V0,mountainstreet,11,1,0,0,5.1211,5
V0,mountainstreet,12,0,0,1,1.1019,6
V0,mountainstreet,13,0,0,4,0.0987,17
V0,mountainstreet,14,1,0,0,9.5795,38
V0,mountainstreet,15,0,0,4,0.8482,1
V0,mountainstreet,16,0,0,2,1.616,21
V0,mountainstreet,17,0,0,5,0.3111,15
V0,mountainstreet,18,0,0,4,1.8579,21
V0,mountainstreet,19,0,0,17,0.1487,22
V0,mountainstreet,20,0,0,2,1.1983,8
V0,mountainstreet,21,0,0,1,2.0787,35
V0,mountainstreet,22,0,0,2,1.3361,20
V0,mountainstreet,23,0,0,1,2.8594,30
V0,mountainstreet,24,0,0,2,1.5001,36
V0,mountainstreet,25,0,0,3,0.9409,33
V0,mountainstreet,26,0,0,3,0.042,8
V0,mountainstreet,27,1,0,0,4.8863,2
V0,mountainstreet,28,0,0,1,1.0527,13
V0,mountainstreet,29,0,0,2,1.6565,37
V0,mountainstreet,30,0,0,11,0.1735,34
V0,mountainstreet,31,0,0,1,2.7608,21
V0,mountainstreet,32,1,0,0,5.403,23
V0,mountainstreet,33,0,0,1,2.8915,19
V0,mountainstreet,34,0,0,2,1.4979,35
V0,mountainstreet,35,0,0,1,0.3177,22
V0,mountainstreet,36,0,0,3,1.2796,18
V0,mountainstreet,37,0,0,2,1.0302,35
V0,mountainstreet,38,1,0,0,9.8387,26
V0,mountainstreet,39,0,0,7,0.8057,31
V0,mountainstreet,40,1,0,0,6.7754,2
V0,mountainstreet,41,0,0,6,0.4427,27
V0,mountainstreet,42,0,0,1,0.6182,7
V0,mountainstreet,43,0,0,2,1.3937,21
V0,mountainstreet,44,0,0,1,2.9764,26
V0,mountainstreet,45,1,0,0,5.1823,17
V0,mountainstreet,46,0,0,1,2.726,8
V0,mountainstreet,47,0,0,3,1.2624,24
V0,mountainstreet,48,0,0,5,1.1955,27
V0,mountainstreet,49,0,0,4,0.1942,24
V0,mountainstreet,50,0,0,1,1.199,30
V0,mountainstreet,51,0,0,5,0.9849,11
V0,mountainstreet,52,0,0,1,1.1998,21
