arm,track,seed,runaway,parade,within3,gap090,leaderIdx
V0,luger-hill,1,0,0,12,0.7074,39
V0,luger-hill,2,0,0,2,2.3349,32
V0,luger-hill,3,1,0,0,4.4141,11
V0,luger-hill,4,0,0,1,0.2735,34
V0,luger-hill,5,0,0,1,1.8258,10
V0,luger-hill,6,0,0,1,1.1971,11
V0,luger-hill,7,0,0,6,0.1619,6
V0,luger-hill,8,1,0,0,4.5608,32
V0,luger-hill,9,0,0,4,0.6631,10
V0,luger-hill,10,1,0,0,4.9212,10
V0,luger-hill,11,0,0,3,1.1998,33
V0,luger-hill,12,0,0,1,2.6988,11
V0,luger-hill,13,0,0,3,1.207,29
V0,luger-hill,14,0,0,11,0.0321,37
V0,luger-hill,15,0,0,3,1.1386,23
V0,luger-hill,16,1,0,0,3.7773,29
V0,luger-hill,17,0,0,2,2.1386,31
V0,luger-hill,18,0,0,4,2.1611,38
V0,luger-hill,19,0,0,6,1.6823,30
V0,luger-hill,20,0,0,6,0.9206,36
V0,luger-hill,21,0,0,1,1.6455,32
V0,luger-hill,22,0,0,12,0.6328,28
V0,luger-hill,23,0,0,8,0.5227,39
V0,luger-hill,24,1,0,0,4.9629,12
V0,luger-hill,25,1,0,0,3.1534,7
V0,luger-hill,26,1,0,0,5.1275,7
V0,luger-hill,27,0,0,7,0.1985,2
V0,luger-hill,28,0,0,3,0.5177,13
V0,luger-hill,29,0,0,2,0.2689,37
V0,luger-hill,30,0,0,3,1.1944,19
V0,luger-hill,31,0,0,16,1.2258,12
V0,luger-hill,32,0,0,7,0.2911,22
V0,luger-hill,33,1,0,0,4.7775,12
V0,luger-hill,34,0,0,5,0.5745,16
V0,luger-hill,35,0,0,9,0.5821,21
V0,luger-hill,36,0,0,6,1.2242,23
V0,luger-hill,37,0,0,1,2.3679,31
V0,luger-hill,38,0,0,1,1.1979,38
V0,luger-hill,39,0,0,2,1.6658,12
V0,luger-hill,40,0,0,1,1.7697,25
V0,luger-hill,41,0,0,2,0.0571,6
V0,luger-hill,42,0,0,1,2.4956,18
V0,luger-hill,43,0,0,1,1.8473,22
V0,luger-hill,44,0,0,5,1.3373,37
V0,luger-hill,45,1,0,0,3.2894,8
V0,luger-hill,46,0,0,4,0.9854,8
V0,luger-hill,47,0,0,3,0.166,37
V0,luger-hill,48,0,0,1,1.7331,6
V0,luger-hill,49,0,0,1,1.6837,0
V0,luger-hill,50,0,0,2,0.4482,11
V0,luger-hill,51,0,0,5,1.0395,11
V0,luger-hill,52,0,0,6,0.4121,5
V0,luger-hill,53,0,0,10,1.0722,10
V0,luger-hill,54,1,0,0,4.8671,24
V0,luger-hill,55,0,0,5,0.5005,35
V0,luger-hill,56,0,0,3,0.8387,10
V0,luger-hill,57,0,0,8,1.2683,39
V0,luger-hill,58,0,0,9,0.2189,12
V0,luger-hill,59,0,0,13,0.0296,33
V0,luger-hill,60,0,0,11,0.0966,27
V0,luger-hill,61,0,0,1,2.1635,20
V0,luger-hill,62,0,0,1,0.5192,23
V0,luger-hill,63,0,0,2,0.4107,12
V0,luger-hill,64,0,0,1,2.3342,34
V0,luger-hill,65,0,0,1,2.3533,17
V0,luger-hill,66,0,0,3,2.1499,22
V0,luger-hill,67,0,0,2,1.4101,34
V0,luger-hill,68,0,0,2,0.8654,31
V0,luger-hill,69,1,0,0,3.8897,18
V0,luger-hill,70,0,0,22,0.0544,21
V0,luger-hill,71,0,0,4,0.6382,7
V0,luger-hill,72,0,0,3,1.4867,12
V0,luger-hill,73,0,0,2,0.2446,29
V0,luger-hill,74,0,0,11,1.1279,17
V0,luger-hill,75,1,0,0,5.9952,12
V0,luger-hill,76,0,0,1,1.1981,35
V0,luger-hill,77,0,0,7,0.9285,20
V0,luger-hill,78,0,0,2,1.6263,17
V0,luger-hill,79,0,0,7,0.3711,17
V0,luger-hill,80,0,0,1,1.968,0
V0,luger-hill,81,0,0,1,1.0509,15
V0,luger-hill,82,0,1,1,1.1941,35
V0,luger-hill,83,0,0,3,1.385,33
V0,luger-hill,84,0,0,2,0.62,27
V0,luger-hill,85,0,0,2,0.5149,38
V0,luger-hill,86,1,0,0,3.7057,35
V0,luger-hill,87,0,0,2,0.4616,14
V0,luger-hill,88,0,0,5,0.0679,35
V0,luger-hill,89,1,0,0,3.9112,9
V0,luger-hill,90,0,0,4,1.553,23
V0,luger-hill,91,1,0,0,4.8498,15
V0,luger-hill,92,0,0,1,1.9098,20
V0,luger-hill,93,1,0,0,3.4236,24
V0,luger-hill,94,0,0,1,1.6057,32
V0,luger-hill,95,0,0,4,1.3881,27
V0,luger-hill,96,0,0,5,0.3704,11
V0,luger-hill,97,1,0,0,3.936,19
V0,luger-hill,98,0,0,3,0.5496,11
V0,luger-hill,99,1,0,0,3.8252,20
V0,luger-hill,100,0,0,5,0.6321,22
V0,luger-hill,101,0,0,3,1.2011,28
V0,luger-hill,102,0,0,6,0.7928,35
V0,luger-hill,103,1,0,0,3.3682,3
V0,luger-hill,104,0,1,1,2.7985,18
V0,luger-hill,105,0,0,2,2.1826,26
V0,luger-hill,106,0,0,0,3.617,28
V0,luger-hill,107,0,0,1,2.4665,15
V0,luger-hill,108,0,0,2,1.9363,26
V0,luger-hill,109,0,0,3,0.1685,1
V0,luger-hill,110,0,0,2,1.4111,30
V0,luger-hill,111,0,0,3,1.4987,16
V0,luger-hill,112,0,0,2,1.4836,7
V0,luger-hill,113,0,0,2,1.5052,1
V0,luger-hill,114,0,0,10,0.7958,14
